,texts
2766,"Сажусь в такси, показательно вставляю наушники, чтобы со мной не пытались заговорить. Чихаю, кашляю, сморкаюсь (болею, ну тут к бабке не ходи). Едем минут 7, сквозь музыку периодически слышу, что водитель что-то произносит, но игнорирую, видел же, что я в наушниках. Видимо, его это не устроило, он меня за рукав дергает, я снимаю наушник и слышу гениальный вопрос: 
— Болеете?
— Да.
— Я тоже.
Бля, чувак, да что с тобой не так?!

#Подслушано_провал@overhear"
2767,"Когда мне было лет 15, я начал очень сильно болеть. Родители завезли меня к одной бабке, чтобы она посмотрела. Она сказала, что в этом виновата жена моего родного брата, мол, она забирает мою жизненную силу и отдаёт её своему сыну (моему племяннику). Бабка сделала всё, что нужно было, сняла это и т.д. Я в это вообще не верил, но через пару дней мне резко начало становиться намного лучше, а потом мой племянник попал в больницу. После этого почти не общаюсь с братом. Не думал, что он сможет так."
2768,"Когда мне было 8 лет, мы с папой вдвоём отдыхали на море, и он изменил маме, думая, что я ничего не понимаю. Когда мне было 14, я нашла у мамы целую переписку ""люблю, хочу"" с её коллегой. Сейчас мне 30, я никому никогда этого не рассказывала, родители вместе и ничего не знают. Периодически хочу маме сказать, что знаю о ней, но язык не поворачивается. Гложет меня это, пипец.

#Подслушано_предательство@overhear"
2769,"Отравили моего четырехмесячного щенка… 5 дней капельниц, уколов, промываний. На третьи сутки врач сказала, что до утра он не доживёт. Полночи сидела, умоляла его жить, сбивала температуру, смотрела в глаза, полные боли, слёз и непонимания, за что с ним так. А за то, что одной тупой курице не нравится, когда собака гавкает в МОЁМ ДВОРЕ! За это она перетравила уже пол-улицы домашних животных, живёт от нас в 200 м. Наш щенок выжил, а её сын будет долго лечится, так как болеет очень тяжёлым заболеванием.

#Подслушано_ненависть@overhear"
2770,"Было в детстве. Ехали мы в детский лагерь во Владивосток поездом,  дорога аж на 5 дней. Во второй день пошла я кружку кипятка набрать, а передо мной бабуля зачем-то трёхлитровую банку кипятка набрала, а когда она повернулась, то банка треснула и весь кипяток вылился мне на ноги. Так я и ехала оставшиеся дни, рыдая на весь поезд и пролежав почти весь сезон в больнице.

#Подслушано_пиздец@overhear"
2771,"Живём на втором этаже, вечером отправила мужа в магазин, а сама пошла мыть посуду. Мойка возле окна, стою, мою, вижу, мой с магазина идёт с соседом, поднимает на меня глаза, сосед тоже, я машу — здороваюсь. Тут мой муж начинает размахивать руками и что-то пытаться мне сказать, я не понимаю, в чём дело, продолжаю мыть посуду. И наконец-то до меня доходит, что у меня голые сиськи.

#Подслушано_провал@overhear"
2772,"Мой муж очень красив, ухоженный, хорошо одет, я всегда ему советую, что лучше и в чем он будет еще сексуальнее выглядеть. А когда смотрю его фотографии с бывшей, у меня ком в горле — он одет как бомж. Работал на убогих работах и все деньги отдавал ей. Выглядел ужасно, жалко. Недавно опять посмотрела — чуть не разревелась :( 

#Подслушано_наблюдения@overhear"
2773,"Моя сексуальная жизнь началась в 16... с изнасилования. Об этом знает муж и психолог. Самое обидное, что я не шла по темному переулку или там, где гаражи. Я шла домой по небольшой аллее с кустиками. На мне не было мини-юбки, яркого макияжа или глубокого выреза на кофте. Обычный подросток со спортивной сумкой (шла с тренировки). Просто мужик вылетел на меня из кустов, профигачил в живот и затащил в те же самые кустики. Позитивные моменты: он был здоров и толком не смог покалечить хотя бы физически.

#Подслушано_страшное@overhear"
2774,"Кому-то в детстве на вопрос: ""Откуда я взялся?"" — говорили, что аист принёс, в капусте нашли и тому подобное. Мне же сразу мама сказала, что я из жопы вылезла😦 Я так и думала долгое время, что детей в туалете выкакивают.

#Подслушано_детство@overhear"
2775,"Свой первый телефон (Сименс С55) купила в 2003, выбрала исключительно за вшитый классный рингтон. ""Дед Семен"" и доселе жив. Берегу пенсионера, будильником у меня работает."
2776,"Я теряю своего отца. Мы всегда были близки как никто, а потом в его жизни появилась она, и он наплевал на всех. Стал возить её по безумно дорогим курортам, а больную маму очень грубо обидел. Отдалился от всех — родителей, любимой сестры, меня. Все знают, но он делает вид, что ничего не происходит и даже не знакомит её ни с кем. Она — моя копия. У неё куча вещей, как у меня. Она забрала у меня отца, который теперь едва ли звонит мне. И она беременна. Никто не разбивает сердца больнее родных людей."
2777,"Мой муж обожает выщипывать брови, притом преимущественно мне. Говорит, что этот процесс иногда для него лучше секса. Поэтому, когда у меня месячные, я разрешаю ему заняться моими бровями, чтобы хоть как-то радовать.

#Подслушано_хобби@overhear"
2778,"Работаю в сфере обслуживания, через меня каждый день проходят сотни разных людей, компании, одинокие гости, пары. Заметила, что если приходит пара, то девушка сразу начинает напрягаться, видя красивую, широко улыбающую девушку перед собой. Сразу пытается увести своего молодого человека в сторону, чтобы не дай бог я его прям там не увела. Но среди них есть те, которые искренне рады меня видеть, с удовольствием поддержат диалог, да и просто уверенны в себе и в своем мужчине. Обожаю таких ярких женщин.

#Подслушано_наблюдения@overhear"
2779,"В детстве страшно боялась застрять в дверях автобуса, и что гармошка закроется как раз именно в тот момент, когда я буду входить в автобус. Всегда старалась шмыгнуть через двери очень быстро, и всегда для меня это был момент ужаса. Однажды именно это и произошло, молодой пацан-водитель, абсолютно невнимательный олух, проглядел меня и закрыл двери. Я заорала благим матом, пацан открыл двери, я заткнулась и спокойно прошла в салон. С тех пор я больше не боялась. Поняла, что это не гильотина.

#Подслушано_детство@overhear"
2780,"Управляю квадрокоптером, всегда вокруг собираются люди: смотрят, обсуждают, что-то спрашивают. Как-то подходит мужик с сыном лет 6, задаёт вопросы, мол, что это такое, какая модель, сколько стоит. Узнав цену (от $200), задумался и выдал: ""Нихуя себе! Это ж можно целый год покупать по бутылке пивасика каждый день! Да ну нах!"" Хлебает пиво, затягивается сигареткой и оттаскивает за руку ребёнка, который с горящими глазами любовался зрелищным полётом. А мужик ведь ещё сигареты забыл посчитать :)

#Подслушано_пьянь@overhear"
2781,"Начиная с восьмого месяца беременности, моя знакомая люто возненавидела своего мужа. Настолько сильно, что переехала к матери в другой город. Рожала там же. Через восемь месяцев позвонила своему мужу, мол, всё прошло, возвращайся. А он взял и погиб по дороге к ней. На машине разбился.

#Подслушано_страшное@overhear"
2782,"Безумно боюсь потерять мужа, очень сильно его люблю. Познакомились с ним на работе, влюбилась с первого взгляда. 
Расписались 31 декабря. Он удочерил мою дочь от первого брака, я родила ещё дочку и сына. Всё замечательно, но разница в возрасте иногда пугает. Мне 32, а ему — 50. Нет, он не выглядит на свой возраст, и я не комплексую по этому поводу, просто иногда накатывают мысли, что я могу его когда-нибудь потерять. Очень страшно. Стараюсь каждую свободную минуту быть рядом с ним.

#Подслушано_любовь@overhear ❤"
2783,"Я атеист, но иногда размышляю на тему ада и рая. Мне интересна одна вещь: принято думать, что в аду души кипят в котлах в страшных муках или их разрывают когтями черти. Но ведь душа не имеет тела. Какое ей дело до кипящей воды или когтей-зубов? Какой смысл в физическом наказании для души, ведь её надо как-то морально наказывать? Одиночеством, например, или показывать страшные воспоминания из жизни. Собственно, из-за таких несостыковок, а их немало, я перестала верить в бога, ангелов и прочее.

#Подслушано_религия@overhear"
2784,"Самый странный и необычный комплимент за всю свою жизнь я услышала от врача-гинеколога мужского пола. Во время осмотра он сказал: ""Какое же у вас всё красивое — у молодой, нерожавшей девушки"". Из кабинета я вылетела пулей, больше к нему не ходила.

#Подслушано_ебанько@overhear"
2785,"У меня есть один большой секрет: я никого не люблю. Совсем. Осознала это ещё лет в 13. Не люблю маму, папу, родных, никогда не влюблялась в мужчин — всегда лишь притворяюсь.
Когда забеременела и не успела сделать аборт, надеялась, что проснется материнский инстинкт. Не проснулся. Я по-прежнему никого не люблю.

#Подслушано_любовь@overhear ❤"
2786,"Мне 25. Моей маме 67. И я давно распланировала, на что потрачу свое наследство после ее смерти. Нет, мне не стыдно. Я просто ее не люблю.

#Подслушано_семья@overhear"
2787,"Ехал у меня поездом матрос по Китаю, звонит весь испуганный, говорит выбежал из вагона, без вещей, документов и денег. Отсиживается в каком-то бараке. Говорит, услышал, как китайцы на китайском ночью планируют его ограбить. Вот он и сиганул на ближайшей станции. Человек, который не знает ни китайского, ни английского.

#Подслушано_странное@overhear"
2788,"Как-то раз, ещё на заре своей водительской практики, выезжала с парковки и вмазалась во впередистоящий автомобиль. Рядом стоял и курил мужик, он показал, что всё ок и стал показывать, куда выворачивать руль и как выезжать. Пока я выезжала, вышел хозяин авто, офигел от разбитого бампера и стал спрашивать у курящего мужика, не видел ли он, кто это сделал. Тот покачал головой и махнул незаметно мне в след рукой. Не знаю, что им двигало в тот момент, зачем он меня спас, но приятно!

#Подслушано_добро@overhear"
2789,"На днях жестко напилась. Утром вытащила из себя сразу два тампона. Видимо, чтобы наверняка)

#Подслушано_пьянь@overhear"
2790,"Встречалась с парнем. У него была молодая, милая, очень умная собачка и безумно красивая. Расстались с ним перед его переездом. Очень хотела забрать собаку себе, но он не дал. ""Люблю ее"", — говорит... А недавно от общих знакомых узнала, что он ее усыпил, потому что деть ее некуда было! Здоровую молодую собаку усыпил из-за того, что не хотел, чтобы она грызла новую мебель в квартире! Ну, держись, сука. Я тебя найду и сделаю с тобой тоже самое!

#Подслушано_ебанько@overhear"
2791,"Блин, не хотела никогда учиться, поэтому занимала себя музыкалками, художками, кружками и вожатством. Короче убивала время как могла, а мозгов у меня не особо много. И что в итоге? На работе теперь меня эксплуатируют на каждый праздник СТАНЦУЙ СПОЙ СЫГРАЙ НАРИСУЙ СЛЕПИ. Видать заметили, что больше я толком ни в чем не пригодна, так хотя бы наш отдел выпендрится талантливой, но тупой работницей. Лучше бы училась( 

#Подслушано_работа@overhear"
2792,"Пять лет назад выпустилась из детдома. До того как туда попасть, жили плохо, постоянно полуголодная ходила. В д/д впервые забыла о том, что такое голод, но и там первые полгода прятала еду с обедов и ужинов, хоть и били за это.  И до сих пор не могу избавиться от этого чувства, стараюсь накупить кучу еды, даже если в доме есть, что покушать, и я знаю, что больше никто ничего не отберёт. Большая часть зарплаты на еду уходит, могу даже какую-то вещь себе не купить, но продукты в доме всегда есть."
2793,"Тут бортпроводник писал, что все боятся пьяных пассажиров на борту. Я тоже, как и большинство людей за закон, запрещающий пьянство в полете. У подруги аллергия на алкоголь. Да, реально! Да, есть даже справка для дпсников (спиртное может вызвать летальный исход). Летели мы из Тайланда. Кто-то открыл коньяк и праздновал окончание отпуска.  Запах распространился по салону. Все 9 с половиной часов полета она, бедная чихала, сморкалась и слезы ручьем не взирая на антигистаминные препараты."
2794,"Спалила своего деда. Зашла на кухню после тусовки, часа в 2 ночи - сосиску рассолом запить. Включаю свет, а там старый пердун в окна дома напротив в бинокль палит. Разошлись полюбовно на ""Ты худеешь и пьешь воду ночью, а старый волк бдит и врагов народа ищет""."
2795,"Дядя построил частный дом, жалуется на крыс, которые в курятнике яйца таскают. Вроде и кошку завели, но она сама крыс очень боится. И вот одна 90 летняя соседка дает им совет: «надо ночью выйти во двор и поймать одну из крыс в курятнике, а потом в глаз этой крысы вонзить иглу и выпустить ее. Крыса с иглой в глазу убегает с таким душераздирающим криком, что ее сородичи понимают что здесь живут настоящие монстры и больше туда не ходят».

#Подслушано_лайфхак@overhear"
2796,"Бывают тут истории про домовых. Не сказать, что не верю в такое, но всегда посмеивались над рассказами о ""контакте"" и над мужем, который заставлял меня ставить веник вниз ручкой из-за домового, живущего на нем. Смеяться перестала после родов собаки. Было всем тяжело, щенки, работа, учёба - ругались из-за этого часто. Так вот стою как-то утром в ванной и в зеркале вижу, что щенок теребит веник, а этот веник начинает прыгать, против всех законов физики. Стало страшно, щенка отогнала. Теперь уважаю"
2797,"Замужем, есть маленький ребенок. Поняла, что погрязла в хозяйстве, стала занудой и перестала быть интересной, женственной. Начала исправляться, снова нашла время для себя, снова читаю, хожу на бокс, чтобы окончательно себя мотивировать — запланировала татуировку. Но на бокс хожу, чтобы при случае знатно втащить той бабе, которая переписывалась с моим мужем. Спасибо за встряску, но готовь мордашку."
2798,"Помню, было это в третьем классе, мы поехали на экскурсию, а наша классная руководительница меня за что-то очень не любила. После экскурсии всем детям раздавали подарки: детские журналы, баночки с мёдом и игрушки. Но вот для меня подарка почему-то не нашлось, а на мой вопрос учительница ответила, что подарки закончились и на меня просто не хватило. Было вдвойне обидно увидеть, что она заботливо отложила такие же подарки для тех детей, кто заболел и не смог поехать на экскурсию.

#Подслушано_наблюдения@overhear"
2799,"Ехала в автобусе и наблюдала, как парень, сидящий рядом, несколько раз доставал из коробочки, рассматривал и клал обратно красивое обручальное колечко. И такой он был счастливый, так при этом улыбался, аж на душе приятно стало! Наверное предложение ехал делать)

#Подслушано_наблюдения@overhear"
2800,"Когда я была маленькая, едва не утонула, плавая в озере. Просто забралась на надувном матрасе очень далеко от берега и случайно соскользнула — он же влажный, скользкий. Оказавшись под водой, я испытала только лишь жгучее чувство разочарования — меня окружала мутная зелено-сине-серая жижа. А ведь ожидала я увидеть яркие водоросли и рифы :( Как же обидно было, по телевизору-то обещали совсем другое. Вытащил меня папа, я тогда уже успела наглотаться воды.

#Подслушано_детство@overhear"
2801,"Засовываю в себя шарики от настольного тенниса и, глядя в зеркало, представляю себя курочкой. Пошла дальше. Теперь я уже умею выстреливать их и попадать в корзину игрушечного баскетбола. Муж обожает за этим наблюдать. Скоро перейдём на ""трехочковые"" броски с дальнего расстояния. И влагалище стало тренированным, мой любимый в восторге!

#Подслушано_пошлое@overhear"
2802,"У моего парня с рождения нет обоняния. И однажды захотелось пукнуть, без мук выбора решила - пердеть! Всё равно запах не учует. Но я не учла тот факт, что со слухом-то всё в порядке...

#Подслушано_провал@overhear"
2803,"Я довольно ленивая насчет уборки.  Так вот приучила себя ходить дома босиком.  Как только становится не комфортно ногам приходится браться за пылесос и швабру. Отлично работает, теперь уборка минимум 2 раза в неделю дома)

#Подслушано_лайфхак@overhear"
2804,"В детстве, когда спрашивали, как я хочу в туалет ""по-большому"" или ""по-маленькому"", всегда думала, что ответ зависит от того, насколько сильно ты хочешь) Поэтому ""по-большому"" значило ооочень сильно, а ""по-маленькому"" - можно потерпеть)))

#Подслушано_детство@overhear"
2805,"Мне скоро 20, работаю консультантом-сомелье, превосходно разбираюсь в алкоголе. Так бесят люди, которые начинают рассказывать, что они пьют больше, чем я живу, после предложения помочь с выбором чего-либо. Чем тут гордиться?! Увеличенной печенью хвастаться решил? Я с закрытыми глазами могу узнать с какого региона это вино, с какими купажами оно, год урожая, и в 90% случаев производителя. Но нет, ты в свои 40 лет куда лучше в этом разбираешься. Бесит, что люди не могут просто вежливо сказать ""нет"". Задрали!

#Подслушано_БЕСИТ@overhear"
2806,"Не была дома три недели. Муж за это время не заморачивался с уборкой. Вооружилась тряпками, моющими и начала всё мыть. Нахожу белый волос - не заморачиваюсь, нахожу второй - иду сравнивать с куклами дочек с мыслями об измене - нет таких (я брюнетка). И, о, чёрт - третий. Я бегу за винишком, чтобы всё обдумать. Их сложила в баночку как улику для предъявы мужу. И вот долгожданный финиш, он пришёл, я пьяненькая в хлам даю ему эти волосы. Он поджигает их, и вот он запах справедливости - это нихрена не волосы.

#Подслушано_успех@overhear"
2807,"У сестры мужа 2 года назад родилась дочка. Она улыбчивая, хорошая, но капец страшненькая, не обаятельная абсолютно. Меня жутко раздражают ее фотографии, видео, которые ее мать мне постоянно шлет пачками. Я монстр, понимаю, что ребенок не виноват, что для всей родни это самый чудесный и красивый ребенок. Может потому что я сама много лет родить не могу и у меня обычная зависть. Никому не говорю об этом. Мне просто нужно выговориться.

#Подслушано_зависть@overhear"
2808,"Бабушка рассказывала - в молодости работала на заводе, смена поздно закончилась. Автобусов для работников дали не 3, а 2. Моя бабушка, ее подруга и еще один мужчина входили последними, и, понятное дело, им не хватило места. Этот мужчина как-то залез в автобус, хотя они его просили остаться с ними и проводить, ночь ведь. На утро бабушка приходит на завод, а цех почти пустой, оказывается, водители автобусов не справились с управлением и врезались друг в друга. Там было мясо. А мужчина остался калекой...

#Подслушано_страшное@overhear"
2809,"Настолько одинока, что специально изучала довольно долгое время осознанные сновидения (и научилась-таки в них входить) просто для того, чтобы хоть иногда меня кто-то обнял. Хотя бы во сне.

#Подслушано_одиночество@overhear"
2810,"28 лет, но до сих пор для меня величайшая загадка, как люди сходятся. Жила с мамой и старшей сестрой, все мужские дела всегда на мне. Не могу сказать, что это не нравилось. Получала удовольствие, когда я такая женственная, красивая, в платье на каблуках рассказывала муж., как лучше чинить кран или точить ножи. Довыпендривалась. Стала моральным гермафродитом. Слабаков не терплю, хочется голову откусить, а от сильных самодурством воняет, тоже не переношу. Страшно, что никогда не сложится семья...

#Подслушано_наблюдения@overhear"
2811,"Лет в 12 возвращались с подружками со школы, вечером. Нас подозвал мужчина и начал расспрашивать с открытыми ли глазами спят хомячки. Мы, наивные ангелы, начали объяснять ему. А потом самая внимательная из нас заметила, что у него под пальто член наружу, и мы убежали. А через несколько дней у нас пропала девочка из параллельного класса. Объявили, что возле школы маньяк-педофил открыл охоту на девочек нашего возраста. Поняли, что это был за странный мужик...

#Подслушано_страшное@overhear"
2812,"Год назад жили счастливо с любимым человеком. На нем висел кредит, который мы потихоньку выплачивали. И в один прекрасный день подумалось ему, что можно взять другой кредит, под более выгодный процент. Как раз по ""счастливому"" случаю прислал наш зелёный банк смс, что мне одобрен кредит. Ну и пошло, что ты оформляй, мой погасим и будем то же самое делать с твоим. На попытку заговорить о том, что страшно, сразу истерика: «Ты мне не доверяешь». Ну любила же, все сделала. В итоге через две недели я одна.

#Подслушано_предательство@overhear"
2813,"Муж моей приятельницы на посиделке у меня дома заявил, что видел мою анкету на сайте знакомств. И выяснял, что я там ищу, замуж что ли после развода собралась. Вот какого хера он сам там делает и какая ему разница. И еще жене врет, что анкета у него без фото. Следопыт недобитый.

#Подслушано_БЕСИТ@overhear"
2814,"Находясь в небольшом городке, решили мы с другом ночью дойти до карьера, называемого Чертовым Озером. Ночь. Путь лежал через кладбище на окраине города. Пошли пощекотать нервы. Прошли через кладбище и как только вышли на лесную тропу, вскоре обнаружили, что кто-то идет за нами следом. Сколько мы не оборачивались,  никого не видели. Но чуть только двигались вперед - прямо за нашими спинами раздавались шаги. Потом эти же шаги проводили нас обратно до кладбища и там пропали, у ближайших могил. 

#Подслушано_мистика@overhear"
2815,"Гулял как-то по парку, никому не мешал, и тут ко мне подходит девушка, просит подержать котёнка, пока она отойдет. Жду минут 10, 20. Спустя час я решил не ждать ее и просто пошел домой. Теперь со мной живет большой кот Гоша :)

#Подслушано_коты@overhear ^^"
2816,"Однажды у мужа сломалась машина, и он поехал в областной центр по работе на моей старенькой десятке. На перекрёстке в него врезалась тетя на крутой тачке, стала извиняться и попросила решить все на месте. Муж указал на все вмятины и взял с неё деньги на ремонт, и только дома я ему рассказала, что те вмятины, за которые он взял деньги, ещё с момента покупки моей ласточки в 2010 году!"
2817,"Ходила я как-то в поход по местам, в которых нога человека почти не ступает, и один раз остановились на ночлег. 3 часа ночи, я была дежурной и сидела у костра одна, полная тишина, кругом километры непроходимых лесов и горы, все спят. И тут я слышу из леса свист, вроде ничего страшного, может, животное, или еще что-то, но этот свист был разумный и жуткий. Животный инстинкт заставил бежать в палатку. На утро возле костра было много следов голых человеческих ног. Примерно 50 размера. Жутко.

#Подслушано_страшное@overhear"
2818,"Сейчас вспоминаю себя в детстве: было мне лет 5, я ехала в троллейбусе с мамой, сидела и смотрела в окно, а в голове представляла, что когда я вырасту, у меня будет подземелье, в котором очень много голых и красивых девушек, и они будут служить мне О_о 

#Подслушано_детство@overhear"
2819,"Однажды ехала в электричке и очень приспичило в туалет, а ехать ещё прилично. Вышла в тамбур, думала пописать между вагонами, там мужик стоял, курил. Постояла, позажималась, не выдержала - дала ему в руки свою сумку и сказала: «Извините, очень стыдно, но очень хочется, посторожите меня!» И забежала делать свои дела. Вышла с чувством облегчения, мужик молча улыбнулся и вышел на следующей станции. Спасибо, мужик)

#Подслушано_успех@overhear"
2820,"На работе туалет находится в другом здании, идти до которого мне далеко и холодно. Поэтому я привезла фасовочные пакеты, в которые в обед ссу, а потом выкидываю в мусорный бак на улице. Недавно, когда полезла в сумку за кошельком, чтоб расплатиться в магазине, воткнулась пальцами в пакет со своей драгоценной ссаниной, который забыла выкинуть. Как же я ржала на кассе…

#Подслушано_фууу@overhear"
2821,"Сегодня случилось невообразимое) Зацепила острый угол грузовой тележки в супермаркете, поцарапала ногу... а капроновые колготки остались целы) на грани фантастики  :D

#Подслушано_успех@overhear"
2822,"Работаю фармацевтом. Как-то пришёл парень за презервативами, на следующий день опять моя смена, покупает уже экстренную контрацепцию! Ну, думаю, пёр её аж резина не выдержала. Через какое-то время берёт уже тесты на беременность! Но им повезло, через пару дней уже девушка пришла за тампонами) Круг замкнулся!

#Подслушано_наблюдения@overhear"
2823,"Сколько за время своей работы врачом скорой помощи и реанимации видела страшного - не сосчитать. Устала, ушла на амбулаторный приём. В первую же неделю иду с вызова на дом и рядом со мной с балкона 22-этажного дома падает парень. Ничего сделать уже не могла, дождалась скорую и полицию. И этот звук, и эта картинка ужасают до сих пор больше всего.

#Подслушано_страшное@overhear"
2824,"Мой кот полный трусишка и агрессор в одной мордочке усатой. Постоянно пытается сбежать из дома. Только переступая порог квартиры начинает жаться в угол и трястись от страха. Приходится его нести домой на руках. Зато как-то раз прыгнул к соседям на балкон. И зашёл к ним в гости. Пошёл за ним. Никто дверь не открыл. Подумал, никого нет. Вернулся сам через 3 часа тем же путём. Оказалось, он всех соседей и их собаку загнал на кухню. И они, закрывшись, прятались от него.

#Подслушано_коты@overhear ^^"
2825,"Мы с сестрой близнецы. И больше всего нашим друзьям выносит мозг, когда мама, просматривая какие-нибудь наши фотки, на полном серьёзе заявляет: ""О, ты здесь на Олю похожа!"". Да, друзья, мы всей семьей считаем, что похожи только на некоторых фото, а так мы абсолютно разные!

#Подслушано_семья@overhear"
2826,"Неделю назад заезжал к сестре и её мужу, сидели, общались, а спустя четыре дня, он погиб в дтп... Сестра в 31 вдова, с маленьким ребёнком на руках и вдребезги разбитыми мечтами о счастливой, семейной жизни.  Один урод на встречке и всё, в трауре несколько семей... Страшно, насколько хрупкая наша жизнь...

#Подслушано_страшное@overhear"
2827,"Моя семья мне всегда казалась достаточно современной и адекватной. Но! У нас в доме за городом живёт кошка Мурка. Та ещё потаскушка. И вот, каждые несколько месяцев она рожает котят. А бабушка их топит! В 21-м, мать его, веке топит котят в ведёрке. А мои предложения о стерилизации животного заканчиваются фразами: ""Это лишит кошки женственности"". Серьёзно?..

#Подслушано_жестокость@overhear"
2828,"Приехала я как-то навестить родителей. Однажды осталась дома одна и решила побаловать себя эпиляцией. Вооружившись электроэпилятором и сунув наушники в уши, приступила к делу. Процесс двигался, ножки становились гладкими и я постепенно перешла к зоне бикини. Раскорячившись в пикантной позе, краем глаза замечаю открывающуюся дверь, обалдевшие глаза папы, закрывающуюся дверь. Даже не могу представить, что подумал обо мне родитель, но было очееень стыдно.

#Подслушано_стыдно@overhear"
